"","day_local","day_nonlocal","ON_Other","ON_Lodge","ON_Camp","MEAN_byEXP"
"expGas",8.87,10.65,6.32,7.39,8.75,9.13
"expRentalCar",1.16,0.67,0,0,0,0.89
"expPubTrans",0.01,0.1,0,0,0,0.03
"expSnacks",8.99,8.33,4.74,8.63,6.34,8.64
"expGroceries",4.03,2.68,1.32,1.61,0.62,3.35
"expHotels",17.31,18.5,21.05,21.55,18.12,18.07
"expcamp",2.18,3.46,0,0.56,0,2.27
"expRec",1.34,1.54,2.63,0.63,0,1.33
"expSouvenirs",2.67,3.54,0,4.13,11.94,3.13
"expEqpRental",1.6,0.43,0,2.04,0,1.28
"expGuides",0.1,0,0,0.83,0,0.13
"expRail",6.17,4.94,8,9.73,8.31,6.25
"expOther",5.26,12.62,4.68,8.54,4.31,7.36
"Total_MeanExp",59.69,67.46,48.74,65.64,58.39,61.88
