"Segment","Expenditure","Observations","Mean","Standard Error","95% CI Lower Bound","95% CI Upper Bound"
"day_local","expGas","513","8.87","0.94","7.02","10.72"
"day_local","expRentalCar","513","1.16","0.66","-0.14","2.46"
"day_local","expPubTrans","513","0.01","0.01","-0.01","0.03"
"day_local","expSnacks","513","8.99","0.95","7.12","10.86"
"day_local","expGroceries","513","4.03","0.67","2.71","5.35"
"day_local","expHotels","513","17.31","3.19","11.04","23.58"
"day_local","expcamp","513","2.18","0.8","0.61","3.75"
"day_local","expRec","513","1.34","0.57","0.22","2.46"
"day_local","expSouvenirs","513","2.67","0.47","1.75","3.59"
"day_local","expEqpRental","513","1.6","0.52","0.58","2.62"
"day_local","expGuides","513","0.1","0.1","-0.1","0.3"
"day_local","expRail","513","6.17","0.86","4.48","7.86"
"day_local","expOther","513","5.26","1.37","2.57","7.95"
"day_local","expLocalTotal","513","59.68","5.6","48.68","70.68"
"day_nonlocal","expGas","208","10.65","2.16","6.39","14.91"
"day_nonlocal","expRentalCar","208","0.67","0.52","-0.36","1.7"
"day_nonlocal","expPubTrans","208","0.1","0.1","-0.1","0.3"
"day_nonlocal","expSnacks","208","8.33","1.07","6.22","10.44"
"day_nonlocal","expGroceries","208","2.68","0.73","1.24","4.12"
"day_nonlocal","expHotels","208","18.5","4.87","8.9","28.1"
"day_nonlocal","expcamp","208","3.46","1.71","0.09","6.83"
"day_nonlocal","expRec","208","1.54","1.09","-0.61","3.69"
"day_nonlocal","expSouvenirs","208","3.54","0.87","1.82","5.26"
"day_nonlocal","expEqpRental","208","0.43","0.32","-0.2","1.06"
"day_nonlocal","expGuides","208","0","0","0","0"
"day_nonlocal","expRail","208","4.94","1.24","2.5","7.38"
"day_nonlocal","expOther","208","12.62","4.28","4.18","21.06"
"day_nonlocal","expLocalTotal","208","67.44","9.2","49.3","85.58"
"ON_Other","expGas","19","6.32","2.72","0.61","12.03"
"ON_Other","expRentalCar","19","0","0","0","0"
"ON_Other","expPubTrans","19","0","0","0","0"
"ON_Other","expSnacks","19","4.74","1.56","1.46","8.02"
"ON_Other","expGroceries","19","1.32","0.75","-0.26","2.9"
"ON_Other","expHotels","19","21.05","21.05","-23.17","65.27"
"ON_Other","expcamp","19","0","0","0","0"
"ON_Other","expRec","19","2.63","2.63","-2.9","8.16"
"ON_Other","expSouvenirs","19","0","0","0","0"
"ON_Other","expEqpRental","19","0","0","0","0"
"ON_Other","expGuides","19","0","0","0","0"
"ON_Other","expRail","19","8","5.56","-3.68","19.68"
"ON_Other","expOther","19","4.68","3.21","-2.06","11.42"
"ON_Other","expLocalTotal","19","48.74","25.16","-4.12","101.6"
"ON_Lodge","expGas","71","7.39","2.12","3.16","11.62"
"ON_Lodge","expRentalCar","71","0","0","0","0"
"ON_Lodge","expPubTrans","71","0","0","0","0"
"ON_Lodge","expSnacks","71","8.63","1.75","5.14","12.12"
"ON_Lodge","expGroceries","71","1.61","0.67","0.27","2.95"
"ON_Lodge","expHotels","71","21.55","10.55","0.51","42.59"
"ON_Lodge","expcamp","71","0.56","0.56","-0.56","1.68"
"ON_Lodge","expRec","71","0.63","0.63","-0.63","1.89"
"ON_Lodge","expSouvenirs","71","4.13","1.54","1.06","7.2"
"ON_Lodge","expEqpRental","71","2.04","1.35","-0.65","4.73"
"ON_Lodge","expGuides","71","0.83","0.83","-0.83","2.49"
"ON_Lodge","expRail","71","9.73","4.9","-0.04","19.5"
"ON_Lodge","expOther","71","8.54","4.22","0.12","16.96"
"ON_Lodge","expLocalTotal","71","65.64","16.2","33.33","97.95"
"ON_Camp","expGas","16","8.75","4.41","-0.65","18.15"
"ON_Camp","expRentalCar","16","0","0","0","0"
"ON_Camp","expPubTrans","16","0","0","0","0"
"ON_Camp","expSnacks","16","6.34","2.74","0.5","12.18"
"ON_Camp","expGroceries","16","0.62","0.62","-0.7","1.94"
"ON_Camp","expHotels","16","18.12","12.39","-8.29","44.53"
"ON_Camp","expcamp","16","0","0","0","0"
"ON_Camp","expRec","16","0","0","0","0"
"ON_Camp","expSouvenirs","16","11.94","5.18","0.9","22.98"
"ON_Camp","expEqpRental","16","0","0","0","0"
"ON_Camp","expGuides","16","0","0","0","0"
"ON_Camp","expRail","16","8.31","5.1","-2.56","19.18"
"ON_Camp","expOther","16","4.31","4.31","-4.88","13.5"
"ON_Camp","expLocalTotal","16","58.41","19.9","15.99","100.83"
