"","day_local","day_nonlocal","ON_LodgeIn","ON_LodgeOut","ON_CampIn","ON_CampOut","ON_Other"
"expParkEntrance",11.2,18.75,9.94,7.48,9.63,6.39,3.26
"expGas",23.65,47.2,23.75,22.38,25.48,35.77,12.92
"expRentalCar",5.19,25.79,34.45,32.8,11.63,12.25,8.75
"expPubTrans",0,0,0.47,0.89,0.17,5.88,0.07
"expRestaurants",16.59,53.54,75.47,49.85,16.71,22.38,14.28
"expGroceries",14.11,26.17,30.25,17.74,15.71,23,17.72
"expHotels",10.93,71.78,195.97,117.12,14.02,11.88,12.26
"expSpecLodge",0,21.46,137.29,39.53,9.43,6.81,5.31
"expcamp",0,25.78,4.98,1.13,17.03,26.62,0.68
"expRec",0,2.02,2.28,2.47,1.64,2.48,3.35
"expSouvenirs",7.68,25.76,18.08,14.18,6.48,10.3,11.62
"expEqpRental",0,4.53,9.55,1.38,2.58,2.63,1.82
"expGuides",0.56,17.69,4.46,5.1,16.89,4.31,1.95
"expOther",13.43,38.98,2.25,25.75,3.92,16.78,0.29
"expAdditional",13.24,278.39,344.88,369.69,133.35,92.77,75.55
"Avg.Spending/Party_Day",116.58,657.84,NA,NA,NA,NA,NA
"Avg.Spending/Party_Night",NA,NA,894.07,707.49,284.67,280.25,169.83
